,name,titles,rating,comments
64,Amazon Customer,Camera - Night Face Recognition to open screen lock is brillient,5.0,"Hey Siri Option to make a call is good, Camera Quality is excellent, Night Photo is Good to capture."
65,pratik vyas,Best,5.0,Best my phone
66,Yaswanth S.,Bhai Apple to Apple hai yarrr,3.0,"Awesome hai yarrr tareef karu kya eski jisne tujhe banaya, showbazi karne me maza aata hai premium feel aur mirror selfie bina to adhura hai😅"
67,RIDONELLSWER SWER,Awesome,4.0,Very good decision to go with apple over available android phones. Really very happy.
68,Amazon Customer,Awesome,5.0,Nyc phone.
69,Jidhin P S,iPhone 12 ...order from amazon.....fully satisfy from delivery and product. Great job amazon...👍,5.0,iPhone 12 ...best deal in 2022...you can also go for this ..no issue ..excellent experience with iphone 12.
70,kamran,There is nothing to review On Iphone!!,4.0,Iphone is good nothing to review but still I want to mention….Camera is awesome as usual I love it
71,VISHAL SHRIVASTAVA,Thank you,5.0,"I usually don’t write reviews. But, I should appreciate that the product you have sent is genuine and good. Overall IPhone 12 has battery issue after software update."
72,Yaswanth S.,An overpriced Average product,3.0,"I wanted to explore how good is Apple compared to Android. I must say the only good thing about this is consistency in both cameras and various different lightings. However on a number of occasions it does make you look darker than what ever you are. I find more cons tha pros so here is a list1. Network connectivity and wifi is not upto the mark. My OnePlus 9 pro will have better coverage with same wifi and network.2. At this exorbitant price, it's painful to see 60hz screen. You would find the scrolling painfully slow.3. Every accessory is expensive and the quality of these accesories is not something out of the world.4. The charging speed is really slow. Some claim fast chargers ruin the battery. But i had OnePlus phones easily lasting 3 plus of battery with fast charge. Have seen couple of iPhones draining battery within 2 years. My friends have iPhone 11 which i am referring to.5. Lack of customisation and the same boring look of the icons and you need to search numerous things to share anything.6. Face ID gets annoying at times. You need to also have other ways like fingerprint apart from passcode to unlock when u want to answer video calls.7. The nasty notch. I dont know if apple needs another decade to remove this. The new series pill shape is not either the best looking.8. Lock into the ecosystem and lack of flexibility."
73,O P Singh,Brand always speaks,4.0,"Worth for money, i bought it under sale , its value for every penny spend"
74,Navaneeth,IPhone mil gya,3.0,Thik thak hai
75,ansh,Great,5.0,It was hard switching from ios to android but now switching from android to ios is even harder cause android is so much easier 😁. Anyways about the phone its great in every way. No complaints. But for longer battery larger models are ofcourse better but this serves the purpose for the day seamlessly. Love it.
76,Juel sk,Good phone,5.0,"It’s good phone but for the new user, especially android user it’s difficult to use for few days.Apple does not provide any accessoriesThe cable it provides doesn’t work on normal adopter. You need to buy one.Add price of these adopter and headphone also to the phone."
77,C.lalengmawii (mawimawii),Good,5.0,This product is some working
78,Yaswanth S.,Battery not good battery very pure not bay,3.0,Battery not good battery very pure not by
79,Placeholder,Brand wise Expansive yet Quality and UI still advantageous to Apple,5.0,"Apple brand is expansive... No doubt. A better quality phone can be purchased in this budget but when you enter in to the Apple Eco-System, it suck you in like anything and you have to buy their products.Let's hope Apple will better their offering to thwart the competitionb otherwise one day a better brand can eat their pie."
80,VishnuMohan,"Not worth to buy iPhone, battery backup very Low...",5.0,"Recently buy 2 mobiles, and this iPhone 12.Camera quality : 3.5 /5Battery backup : 1/5Software OS : 4.7/5Security: 4/5 (if one can understand then 4.9 else headace)Audio and video : 4/5Hardware design : 4/5 (hand comfortable but one design for all type of iPhone 11,12, 13, 14 )Application : 4/5 ( most of app works well but still some paid and other not work)Performance: normal use good, battery exhaust too soon, overall good.No biometric security.Same design seems lazy in hardware design.Who sees the bionic chip and calculate performance and improvement.Not worth to buy IPhone 12."
81,Swagatika dandapat,Nice product,3.0,Good
82,RakhuNathan,Genuine product received,4.0,"                    The media could not be loaded.
                "
83,AMARESH MOHAPATRA,"It's an iPhone, that says it all.",5.0,"Have heard so many negative reviews about iPhones bought from Amazon and all, but my experience was smooth and hassle free. And as for the phone itself, it's really smooth and classy. Good to have one iPhone in hand."
84,Yaswanth S.,Good phone,3.0,Camera good
85,Abhishek Kumar,Awesome purchase but i wish i had purchased it earlier in sale..,5.0,Size is a bit small because i have used xr..but its lighter than xr.
86,sanjiv gupta,And it’s an iPhone,4.0,Always best the iPhone 12 design and look
87,Priyam,Good product,4.0,Video&Music
88,Vvn  james,Nice,5.0,"I always find good, no phone can better then iPhone"
89,nilotpal t.,"Good phone with premium looks in budget ,you won’t feel outdated for few years",5.0,Facebook seems little delayed and forces for password for multiple times in a day
90,Yaswanth S.,Battery is most important!,3.0,"Phone gets very hot when charging, And also the battery drains very quickly And it is not right to be in such an expensive phone"
91,Anurag Panda,Great Purchase in great indian sale 2022,4.0,I am not a fanboy of apple but just wanna try apple phone at once and its a first day review. Mobile looks good and very handy to use it. Price is always high of apple products but I purchased this at 44k without charger. Great Purchase and I will edit my review after one month of use. Thanks amazon.
92,Rohan Jadav,Thanks Amazon,5.0,
93,dilip mehra,Great,5.0,"The product is great and it works great but the delivery time was very long. I had to wait approx 2 weeks to get a hand of it even after i stay near delhi. no complaints about the product though, just the delivery time."
94,Placeholder,Worth the experience,5.0,"Touch, camera, performance is top notch as u would expect. If you switch to iPhone trust me you won’t use any android phones again."
95,Vishal Jain,Worst Battery Life,4.0,Everything is perfect but can't even use for 1 day with that battery life worst...
96,Yaswanth S.,Like,3.0,Like
97,Ashok Gupta,Value for money.Excellent phone,5.0,Very smart and fast phone . Battery life is very long and face recognition is very fast with mask as well as without mask
98,Charan,Awesome,4.0,I have most likely phone
99,Shobhana Menon,Value for money if u are buying it with offers and deals,4.0,"                    The media could not be loaded.
                



 Value for money iphone in 2022, only if you are getting it on offers and deals otherwise you have to pay 8-10k more as its original price. I buy it in “great indian festival” sale under prime membership on 23sep. Mid night prior access.Under 41k with HDFC credit card without any card offer ."
100,shaukat,The best thing ever happened in my life..!!,5.0,"First let me tell u it's a real beauty and this my first phone which is a iPhone....I was really excited about it to come to me as fast as possible........and before that I used Android phones which was my mom's as I was a teenager ...So it's been 1 week It came...it's not a bid deal you know to go from Android to iPhone you know..In just one day I got accustomed to it.....let me tell you... that you can't download MP3 music in iPhone where In Android it's a easy peasy thing....which I knew after receiving iPhone.....which would be a real bother to music alcoholic people...in those count me too....and please go with 128 gb if you want to buy because from 128 gb, 17 gb have already used in iOS system....which would be a real problem to you if you guys buy 64 gb variant...The camera is is really good factor...my siri is lightly having problem..it's always like ""Something went wrong! Please try again ""..I know i would happen to solve this problem too : ) .......I bought iPhone as because it's beast in case of CAMERAS...and it went really good price in the Great Indian Festival Of Amazon.....And Lastly but not least...THANK YOU AMAZON FOR KEEPING MY REQUEST TO DELIVER THIS PRODUCT FASTER!!"
101,Ramkumar,Best product,5.0,Best product
102,Yaswanth S.,got 12,3.0,
103,Amit Jain,Cemera zoom not quality,5.0,If finger print are include it’s very nice but didn’t have finger print
104,Shivani,Na,5.0,Na
105,Raja Bauri,Outstanding & Best selling iPhone,5.0,"The iPhone 12 sports a gorgeous design, full 5G support, great cameras and strong performance. However, the limited base storage is a drawback even at its new reduced price.👍Beyond adding 5G, Apple has equipped the iPhone 12 family with its powerful new A14 Bionic processor, a Super Retina XDR display, a more durable Ceramic Shield front cover, and a MagSafe feature for more reliable wireless charging, and support for attachable accessories.Pros+Attractive new design with MagSafe👍+Comprehensive 5G coverage👍+Impressive dual cameras👍+Fastest performance in this price range👍+Solid battery life👍Cons-Lacks 120Hz display (minor)-No optical zoomApart of this it’s design can win ur heart at first look, Ratina X display is awesome & if you r using iPhone 11 or later then there is significant improvement in terms of sound, display & weight, it is too skinnyFor me this is most sexiest phone ever 👍"
106,Biraj Das,Nice phone,5.0,Amezing
107,Nivedita Raj,Good buy.,5.0,Excellent phone and worth buying.
108,Yaswanth S.,Jo quality apple de skta hai na wo or koi nhi Dee skta ❤️,3.0,Osssmmmm but Android se iOS main Ane m dikt to hoti h but feeling Aasman touch kr jatti hai i phn hat 😎main hone k bad 🔥
109,Abhishek kumar agarwal,Good,5.0,Good
110,Ramneek Pal Singh,Best experiance,4.0,My dream was fullfilled🥳🥳🥳Thank My parents and My god🙏🙏
111,Rajesh mahapatra,Ok but I preferred blue colour now,4.0,I like because it is iPhone but not i wanted to replace with blue colour
112,Dhaval Nakrani,Value for money’but storage is small,5.0,I purchased this phone bbd sale 44k ₹ in this price the phone is really good
113,Asif Rahman,Great pic at low Cost,5.0,"Camera is good , But need some improvement in Battery backup, as usually iOS superb..."
114,Yaswanth S.,is that necessary?,3.0,❤️
115,Mohit Dave,As expected,5.0,As expected
116,Chinu,Don’t go for it just came for it😂,5.0,Nice product
117,Naved Khan,Outstanding product and delivery on time,4.0,"iPhone 12 is awesome phone,first i was scared to purchase but after receiving it perfectly,I recommended you all to just go for itBut before taking the product from delivery boy make sure to make a unboxing video of it😄"
118,Manish Das,Nice phone,5.0,Nice phine
119,Dipesh Waghela,Excellent,5.0,"Liked It, all working fine"
120,Yaswanth S.,I need to charge twice a day. No other issues,3.0,Poor battery life
121,Jayesh Sukumar,Packing was as if used phone is sent. No proper sealing found on box,5.0,
122,Amazon Customer,proper transaction,5.0,just a change over
123,Pallavee,Somehow Returned this,5.0,"I got this product on 20th April 2022 and returned it on 28th April 2022 haha, with so much excitement I opened the product and started using it, since I was an Android to iOS user I did find some difficulties in using it but it was fine. The real problem started while using it,The Phone started to overheat for minimal usages, I'd call for 5 to 10 minutes hands would be burning with phone heat, 15 minutes of social media again hands would be burning hot, I didn't get any temperature warning but heat was hot enuf for me to keep it aside for a long period of time, Due to overheat the battery used to die fast and I would hv required to charge it thrice a day. I roamed around the Apple authorized service centres and so many calls to Amazon for a replacement but nobody seems to give me any solution, then I thought I'll just use it, but again it started getting worse and I called Apple and they said to give my phone to service centre for 7 to 10 days so they can diagnosis be done and find out issue while I survive 7 to 10 days without a phone haha, then I couldn't take it anymore as I understood if I continue using this phone I wouldn't get 4 weeks yet alone 4 years and pleaded to Amazon coz I am a prime member ever since prime was out and I have ordered tons and tons of products in Amazon and never faced this issue.But the hard earned money going like this was hurting so I submitted whatever documents Amazon asked me to get from Apple and finally they gave me return for this product.The item has been returned and get to reach their warehouse which then oly I will get my refund initiated which is gonna take another 15 to 20 days, but I'm fine since I can wait and not lose my hard earned money. For now I hv a 7 year old phone as backup which is working ok ok but I can manage to write atleast this review.So whoever face this issue, and wants a replacement or return please try your best with whatever Amazon asks from you n they will provide a solution.I still need to buy an Apple phone next coz I bought the 2k adapter and it's return period got over haha.Anyways the Phone was amazing to use,So performance wise 5/5Camera was just amazing 5/5Battery tho 1 or 2/5Over heating so -2/5 or 0/5Overall a bad experience but still excited to get apple product.Btw Apple service centres help very well and listen to ur problems and provide solutions properly and handles it well.So if you are getting a iPhone I hope u guys don't face any situation like mine.Thank you n have  a great day :)"
124,Davinder Singh,It’s good,5.0,❤️
125,Sourabh yadav,Good product,5.0,It is the first time I am using I phone .I have a pleasant feeling and looking forward for future products
126,Yaswanth S.,Good phone,3.0,Very good work
127,Manas,I love this mobile phone superb performance awesome camera performance excellent video excellent,5.0,Nothing
128,Ashutosh Kumar,Shifting for android feels really great but only disadvantage is a battery life sucks,5.0,Awsome product performance is awsome but battery life sucks
129,Sanjayini Das,GOOD,5.0,
130,Panda,After 8 year use of Android finally iam switching to iphone..,5.0,"After 8 year use of Android finally switching into iphone...iam really happy and excited to use my first iphone,thank u Amazon"
131,Prashant Kumar,"Great camera 🤳 quality, very fast performance in bgmi",5.0,Its a great movement for me because it is first time to to believe in ios but i am successfuly satisfied camera quality and build quality is awesome . thankyou sooo much Amazon
132,Yaswanth S.,Best in class !,3.0,As you all know no one can beat the quality of Apple. Got this phone for cheaper price in the great India sale. Packing and all was also good and the delivery was done before time.
133,Vishal Sanwal,Super,5.0,Nice phonee.. and powerful.. camera video quality and performance nice
134,Rahul Chapadar,Nice phone,5.0,Nice phone
135,Dig Vijay kumar,iPhone 12  hitting issue,5.0,Hitting issue after update 16 iOS same problem
136,manoj kumar jha,Good,4.0,Face id
137,sahil sharma,Not Really worth the money,3.0,"I have been an android user for the past 8+ years. Recently was using iphone 6 for the past few months, liked it much and wanted to switch to ios. I did not want to regret, so i purchased the best in the market, going with iphone 12. Honestly, I dont feel its worthy. Perfomance wise, its good. A lot other phones like MI, 1+ everything gives us a very nice perfomance too. The A14 chip is just a tag line to sell the phone. Are we really going to process million instructions per second on a mobile phone? Defenitely not.Battery, After charging it to 100% in the morning, I am hardly getting 1 full day with average use. My battery is almost 20% at the end of the day with a screentime of 4-4.3 hours[Update : With low power mode, it makes a 6 hour day, ending with 30%]. Camera quality is amazing in natural light. Yes, as specified it works so nice in night light, but please dont mistake night light as no-light. Front camera is still average. The same things i see in every other mid range android phones. I am still using JIO 4g. Not sure how this would work on 5g (must drain even faster)Face detenction, the color of the phone, Water resistant and all stuffs are nice to have, fancy items.  But not really convinced if this is all we get for 84k?Fast charging - I bought a 20W charger from apple store for Rs.1900. I plug in when the battery is 20-25% and it takes 1.45 hours to reach 100%. If this is all about fast charging you are looking for, well and good. I never tried with magsafe, honestly. But this to me doesnt seem fast charging for 2800~ mah battery.I wont say that this phone is too poor. It gives us all that it promises. Personally I dont recommend investing 85k Indian money into this. Either go for lower versions of other iphones like 11 or you can wait for an year and buy this at cheaper cost.PROS : Camera & PerfomanceCONS : Battery and Cost"
138,Yaswanth S.,Upgrade from iPhone 7 to iPhone 12 and it’s worth,3.0,Excellent phone and worth the upgrade from iPhone 7.Pros:Looks slimFlat designBatteryDisplayGreat Indian festival discount came with the price of 41.5k and additional card and exchange discountLooks so premium deviceCons:Amazon delivery took more than 20 days to deliver the phone and that do after continuous follow up over chat and call in the interval of every 2 daysGreat Indian festival Discount products are delivered intentionally late.Next time take a pause before buying in the discount sale and buy or buy from offline store if there is no much price difference
139,rakesh gadhiya,Very good experience,5.0,It was really smooth buying it from Amazon. Price was the best and delivery in less than 12 hours. What else can one ask for.
140,Kanak JD,No regrets..!!,5.0,
141,Akshay Bhose,Gud,4.0,Osm
142,Sonu rathod,Excellent phone,5.0,Excellent
143,Shreyas,Amazing quality,5.0,Minimize/reopen feature is not looks good/ overall nice phone
144,Yaswanth S.,Best in under 50000,3.0,That’s great choice
145,Tushar singh Rajput,It’s fine but packaging was very lose since it’s a expensive stuff one should tc of this,5.0,"                    The media could not be loaded.
                "
146,Rahul,Good,4.0,Nice
147,Premendra Vende,"Amazing, great as they stated!!",5.0,"What to say, in comparison to 13, this should be the purchase for you all, as spending some more bucks to get features that isn’t so required and necessary is just being fool I guess.If want to go further you can go with pro models,, but stating this that this particular piece is just awesome.Feels like 120hz of android but it’s actually 60 hz, that’s the power of iPhone, smooth transitions, no lagging."
148,Satinder Singh,"Great product, slow delivery, almost delivered in 1 month",5.0,"This is my sixth iPhone : started from 3g, 4, 5s, SE, iPhone 7, iPhone 11 and this one. Received the product after one month, no complaints about the product"
149,Milind Srivastava,Best in budget 🤪,5.0,Got in 42k in sale....awsome 🤪
150,Yaswanth S.,Looks Good.,3.0,"Product is good.But, delivery process needs to be improved."
